,Text,Label,Clean Text
41,9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws. ,1,  factory worker gunned iowa city gauge winchester pumpaction shotgun nra blame gun control law 
42,@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary. ,0, user overwhelming liberal populated state make policy rest america clue  california biggest population mean u share value  get clue hillary 
43,@user Berkeley Antifa do not agree with you ,0, user berkeley antifa agree 
44,@user He is quite good at faking. Must have done it numerous times ,1, user quite good faking must done numerous time 
45,@user Griexsevia ,0, user griexsevia 
46,@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC ,0, user outage reported toronto   here link outage map see one defined spot  sc 
47,@user @user What new gun control laws would you like to see passed and what would they accomplish? ,0, user user new gun control law would like see passed would accomplish 
48,Take Take Take #WalkAway from the #idiot party! #MAGA ,1, take take take walkaway idiot party maga 
49,@user @user You are so correct the Democratic party for slavery and pro-nazi gun control ,1, user user correct democratic party slavery pronazi gun control 
50,@user Good luck ,0, user good luck 
51,@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts. ,0, user user user alive greatness hinduism try quran gut 
52,@user Hell ya ,0, user hell ya 
53,@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile... ,1, user user prove claim exposed lying piece shit   meanwhile 
54,@user Get shit poppin ,1, user get shit poppin 
55,@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts. ,1, user say sad realizes might actually mean slap say sad face hurt 
56,@user Patrick ass?? ,1, user patrick as 
57,@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air? ,0, user eric holder shouldve nd yr gitmo whats update gitmos expansion  still breathing freedom air 
58,@user All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining! ,1, user ever hear hillary beeching amp moaning  dang  witch never get tired complaining 
59,@user Buy one ,0, user buy one 
60,@user Come on CNN.  He literally introduced himself.  The guy is a public figure for gun control.  Call him out! ,1, user come cnn  literally introduced  guy public figure gun control  call 
61,@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱 ,0, user user didnt know oprah winfrey knew play tennis   
62,@user Yeah she is ,0, user yeah 
63,@user @user @user She is a walking talking lie..  that’s why. ,1, user user user walking talking lie  thats 
64,@user She is so cute ♡ ,0, user cute  
65,@user Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker. ,1, user holder responsible selling gun mexican cartel another obama administration law breaker 
66,@user @user Sounds to me like the Pope needs counselled on confession. ,0, user user sound like pope need counselled confession 
67,@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake. ,1, user better truth politician never good america better flake 
68,@user @user That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are. ,0, user user many thoughtful conservative rushed kavanaughs defense didnt consider  statement black teenager tell everything thoughtful truly 
69,@user you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt ,1, user couldnt catch letting saggy whitey bitch talkin like  bitch eat dirt 
70,.@USER  joined the show to talk about how she is leading the fight against breast cancer at @user @user Listen to the full interview: ,0, user  joined show talk leading fight breast cancer user user listen full interview 
71,@user You are becoming the court jester of the senate ,1, user becoming court jester senate 
72,@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅 ,0, user tell perfectionist dont think change ever  
73,@user @user @user @user Also there to help banks boost their balance sheets post crash. I'd imagine atleast 15% (Maybe more) of current house prices are part of the bank bailout package. ,0, user user user user also help bank boost balance sheet post crash id imagine atleast  maybe current house price part bank bailout package 
74,@user He’s a DA. Someone educate him he’s in the South now ,0, user he da someone educate he south 
75,@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟 ,0, user notice everyone avoids tweet   might think referring   comrade stalk everyone  
76,@user I don't know if this cat even realizes what he is doing. ,0, user dont know cat even realizes 
77,@user @user He is. ,0, user user 
78,@user And you are a football fan too ! ,0, user football fan  
79,@user Well he’s closer to Lincoln than you are. ,0, user well he closer lincoln 
80,@user Every one of them is more rank than she is. And she's pretty rank. So I guess they all outrank her... ,0, user every one rank shes pretty rank guess outrank 
81,@user well...? ,0, user well 
82,@user And why report this garbage.  We don't give a crap. ,1, user report garbage  dont give crap 
83,@user @user @user Says one of the thickest cultists on Twitter. Irony at its finest. ,0, user user user say one thickest cultist twitter irony finest 
84,@user She is disgusting ,1, user disgusting 
85,@user Eric holder is Obama's straw man of corruption ,1, user eric holder obamas straw man corruption 
86,@user And yes your presidency was one of the absolute worst. Go back to that....no way. ,0, user yes presidency one absolute worst go back thatno way 
87,@user @user @user You should take this picture down you destroyed one of my all time favorite Comedian/Actors @user ,0, user user user take picture destroyed one time favorite comedianactors user 
88,@user @user @user @user @user @user I saw her in Denver last week. She is still traumatized. Cohen owes her so much because of 'My Life on the D List'. ,0, user user user user user user saw denver last week still traumatized cohen owes much life list 
89,@user America is better than swamp crud like YOU! ,1, user america better swamp crud like 
90,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thank you for adding me Razor!  Patriots- if you aren’t following my Primary account @user - will you take a minute &amp; Follow me? Thanks &amp; MAGA🇺🇸 ,0, user user user user user user user user user user user user user user user user user thank adding razor  patriot arent following primary account user  take minute amp follow thanks amp maga 
91,@user The lies i keep hearing everyday sigh *INHALES* IM TIRED OF YOU PUTTING YOURSELF DOWN AND IF PPL DONT SEE HOW BEAUTIFUL MY BESTFRIEND IS THEN ITS THEIR PROBLEM You are beautiful ive seen iT so its my place to tell you you are beautiful and i accept nothing less. If not more 😤 ,1, user lie keep hearing everyday sigh inhales im tired putting ppl dont see beautiful bestfriend problem beautiful ive seen place tell beautiful accept nothing le  
92,@user He is very perceptive Sweetie! ,0, user perceptive sweetie 
93,"@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon."""" ",1, user dear paul mcfartney  u beatles  lost u president mad captain  burn hell  jon 
94,@user you are also the king of taste ,0, user also king taste 
95,"@user And everyone knows that Kerry doesn't have a clue!  Heard that from numerous anonymous"""" sources who also say he is not sane.  That's what the sources say."""" ",0, user everyone know kerry doesnt clue  heard numerous anonymous source also say sane  thats source say 
96,@user @user I think she is a hypocrite and loyal to the evil GOP. Vote her out. ,1, user user think hypocrite loyal evil gop vote 
97,@user @user Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that. ,1, user user bill clinton enjoyed raping ted kennedy enjoyed killing cool 
98,@user #Conservatives #Republicans are #TRAITORS to #America ,1, user conservative republican traitor america 
99,@user This liberal is pissed that anyone would give that disgusting pos an award for equality. And....f.u. for including all liberals in this bullshit decision by the HRC. ,1, user liberal pissed anyone would give disgusting po award equality andfu including liberal bullshit decision hrc 
100,@user Eirc Holder: a friken idiot ,1, user eirc holder friken idiot 
101,@user @user You are very beautifull ,0, user user beautifull 
102,@user Crazy freaking liberals ,1, user crazy freaking liberal 
103,@user @user She's been active on Instagram lately. And she is dropping an album sometime this year. ,0, user user shes active instagram lately dropping album sometime year 
104,@user @user Then we'll be talking about gun control! 😉 ,0, user user well talking gun control  
105,@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜 ,1, user user ikkk fucking prince al mn al story btain disney kida ahhooo 
106,@user @user says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @user building their failure of lies ,1, user user say social housing good breath talk climbing ladder   hypocrisy incarnate failed lying politician lining party pocket tax money real estate builder user building failure lie 
107,@user @user He is delirious! ,1, user user delirious 
108,@user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them. ,0, user see frustrating conservative always get praise humane policy isnt neccessarily expected 
109,@user sick of white neo liberals speaking for Black people saying they all love Hillary. They are so deluded. It’s like they just rep ‘black lives matter’ so they can appear woke enough to keep railing against Bernie supporters. Because you know they didn’t care b4 Hillary lost 2 trump ,1, user sick white neo liberal speaking black people saying love hillary deluded like rep black life matter appear woke enough keep railing bernie supporter know didnt care b hillary lost  trump 
110,@user @user Do not donate. She is picking and choosing who she donates to. Being reported. ,0, user user donate picking choosing donates reported 
111,@user @user @user Are you wanting gun control for LEO’s? ,0, user user user wanting gun control leo 
112,@user @user @user Do it with quran and then we will see how much atheist and brave she is... hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it...  Go live in your 2 minutes Prime Time covered life ... Lord krishna and his followers don't care ,1, user user user quran see much atheist brave hindu figured type attention grabbing big bos wanna people worth  go live  minute prime time covered life  lord krishna follower dont care 
113,@user But she is hecking cute fluffer ,0, user hecking cute fluffer 
114,#Labour #Councillor shouting Nazi Scum ..  At victims of #GroomingGangs and this is going to get worse under #JeremyCorbyn's socialist #Britain   #Muslims #Islam #Leftists #MAGA #MEGA #MCGA #MEGA #Patriots #Conservatives ,0, labour councillor shouting nazi scum   victim groominggangs going get worse jeremycorbyns socialist britain   muslim islam leftist maga mega mcga mega patriot conservative 
115,@user @user @user How about your outrage over this?  Do something so you can be credible instead of being perceived as demagogues partisans #MAGA ,1, user user user outrage  something credible instead perceived demagogue partisan maga 
116,@user Yee yee ,0, user yee yee 
117,@user @user @user @user Huh! The pot grows as council grows...in this case it is a reduction...and that amount $25m is going right back to the city for police gun control...already announced! ,0, user user user user huh pot grows council growsin case reductionand amount going right back city police gun controlalready announced 
118,@user @user @user @user Whoa!  Angie!!! Back off that logic!  You're going to confuse the liberals. ,0, user user user user whoa  angie back logic  youre going confuse liberal 
119,"1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'"""""""" ",0,  ultimately defense kavanaugh republican conservative medium public manifestation america rape culture  latter neither colorblind race neutral 
120,@user @user Wrong. @user was a enthusiastic architect of devastating austerity along with the Tory's. The @user did not have to abandon every principle they supposedly had to the @user they could have let Cameron run a minority Government (as dId SNP) but CHOSE not to ,0, user user wrong user enthusiastic architect devastating austerity along tory user abandon every principle supposedly user could let cameron run minority government snp chose 
121,@user @user @user @user  @user  Please get out to vote Republican right down the ticket or Pelosi gets back into control ,0, user user user user  user  please get vote republican right ticket pelosi get back control 
122,@user @user you are running scared!🤡 ,0, user user running scared 
123,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Ryan's wife was from a famously conservative Blue Dog Democrat family in Oklahoma. The conservatives that have left the Dems. She herself has always known to be conservative. She campaigned against Obama nationally in '08 and '12. ,0, user user user user user user user user user user user user user user user user user user user user user user user user ryans wife famously conservative blue dog democrat family oklahoma conservative left dems always known conservative campaigned obama nationally   
124,"@user @user @user @user @user @user @user @user @user So the AR-15 is a fully semi-automatic assault rifle,"""" gun control works, and Donald Trump is racist?"""" ",1, user user user user user user user user user ar fully semiautomatic assault rifle gun control work donald trump racist 
125,@user Just listening to Juan Williams on the FIVE drives me crazy.  He is such an ignorant man.  Where does this man get his facts?  Thank GOD for Jesse Waters and you ladies! ,1, user listening juan williams five drive crazy  ignorant man  man get fact  thank god jesse water lady 
126,"@user @user @user @user What you're doing is so irresponsible &amp; I believe that ur smart enough to understand how evil you are. If the FBI or JD had some plot to thwart DT, all they had to do was leak"""" to the press that he was being investigated. They DID NO SUCH THING. U know you're wrong, that's evil!"""" ",1, user user user user youre irresponsible amp believe ur smart enough understand evil fbi jd plot thwart dt leak press investigated thing u know youre wrong thats evil 
127,@user Ok guys I think her claims are b.s. too but if you start threatening her you're no better than Antifa ,0, user ok guy think claim b start threatening youre better antifa 
128,@user By the looks of her face you can tell where they're pulling the numbers from ,0, user look face tell theyre pulling number 
129,@user Fair &amp; square. Remember that when you’re thinking why! The laws are why. The people spoke and they will again ,0, user fair amp square remember youre thinking law people spoke 
130,@user I think the FBI should do the original interview.  They scare people more than feckless congress that will have to handle her with kids gloves or be demonized in media and left. Put her under oath and attempt to get the truth. She will be protected by liberals in congress ,0, user think fbi original interview  scare people feckless congress handle kid glove demonized medium left put oath attempt get truth protected liberal congress 
131,@user GOD DAMN IT... YOU ARE SO RIGHT. THERE'S NO GOING WRONG WITH THIS STUFF. ,0, user god damn right there going wrong stuff 
132,The “Law and Order” president really hates law enforcement! Lol #MAGA ,1, law order president really hate law enforcement lol maga 
133,@user if you ever want a record setting bad election for the liberals in quebec you need to go back to this ,0, user ever want record setting bad election liberal quebec need go back 
134,"@user @user @user @user @user ...how you want to be defined""""? PUL-EASE! When you live under a 24/7/365 MSMedia SHIT-SMEAR to the point you have Marxine Waters sending her ANTIFA minions out to threaten you in public places - you learn not to give a F*CK what the """"Pavlovian Left"""" thinks. Night, night 🌙!"""" ",1, user user user user user want defined pulease live  msmedia shitsmear point marxine water sending antifa minion threaten public place  learn give fck pavlovian left think night night  
135,#NAME?,0, name
136,@user @user @user @user We are not a democratic republic. We have never been a Democratic anything. We have never had Democratic ideology. Nor is this a “new” talking point. We are constantly correcting Democrats/liberals on this. ,0, user user user user democratic republic never democratic anything never democratic ideology new talking point constantly correcting democratsliberals 
137,@user @user @user @user @user @user @user @user @user @user @user Soon both the libs &amp; the conservatives will havevut so everytime we have a change of government we'll be paying out cancelled contracts ,0, user user user user user user user user user user user soon libs amp conservative havevut everytime change government well paying cancelled contract 
138,@user You are sexy as fuck babygirl🔥🔥🔥 ,1, user sexy fuck babygirl 
139,@user FF8 sucks MAJOR wang. ,1, user ff suck major wang 
140,@user @user She picks some random conservative issues from US and try to force fit in Indian narrative. Next might be gun control 😭 ,0, user user pick random conservative issue u try force fit indian narrative next might gun control  
141,@user @user @user She should have gotten August off to let work on stuff at the P.C. It would have help her a lot. ,0, user user user gotten august let work stuff pc would help lot 
142,@user Another nail in the coffin of the NFL ,1, user another nail coffin nfl 
143,@user @user @user @user You are not dumb. ,0, user user user user dumb 
144,@user Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic ,0, user holy moly catholic people havent awakened  falseprophet  lunatic 
145,@user Bullshit. People died because of an incompetent government in Puerto Rico. And you can start with that mayor. Stop lying Gutierrez. ,1, user bullshit people died incompetent government puerto rico start mayor stop lying gutierrez 
146,@user Antifa isn’t after her. ,0, user antifa isnt 
147,@user @user He is such a showman! And those pipes😍 the man can SING ,0, user user showman pipe man sing 
148,@user @user @user Now we just need antifa outside when they confirm kavanaugh ,0, user user user need antifa outside confirm kavanaugh 
149,@user Fascist always control the media. ,1, user fascist always control medium 
150,@user More I think about this one--it feels like a story trap. People go nuts and complain--talk about gun control which Cruz could then use to fire up his base claiming that they want to take away 2A rights all because of a couple of shells. ,0, user think oneit feel like story trap people go nut complaintalk gun control cruz could use fire base claiming want take away right couple shell 
151,@user Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous. ,1, user fuck dope  fox watcher  independent voter never vote left  party dangerous 
152,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism ,1, user literally talking lol mass shooting like set ups propaganda used divide u major issue like gun control terrorism 
153,@user @user @user @user as of right now my only solid position is that the NRA has become far too influential in politics and as a result they have delayed the desire for gun control for about 20 years. ,1, user user user user right solid position nra become far influential politics result delayed desire gun control  year 
154,@user @user @user @user @user @user He is a crook ,1, user user user user user user crook 
155,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO SHAME?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews ,1, bunch vulture  tim isnt even gone yet wtf  shame  see  hope left every penny animal rescue  carol burnett star tim conway recovers brain surgery family battle comic fate rage foxnews 
156,@user A liberal anarchist coup d'etat gang runs rampant &amp; a GOP AG does nothing. Liberals prove to be the biggest hate group in USA. The leftstream media cheers them on while excoriating duly elected President of the United States 24/7. ANTIFA openly advocates killing cops. Silence ,0, user liberal anarchist coup detat gang run rampant amp gop ag nothing liberal prove biggest hate group usa leftstream medium cheer excoriating duly elected president united state  antifa openly advocate killing cop silence 
157,@user Antifa is the modern day KKK. Funded by the Demarat party.. ,0, user antifa modern day kkk funded demarat party 
158,"@user @user Right. shoot the messenger."""" Don't go after the homosexual rot in the clergy, Bergoglio, go after the man - Archbishop Vigano - who EXPOSED the homosexual rot in the clergy. Satan must be having a REALLY good laugh over that one."""" ",1, user user right shoot messenger dont go homosexual rot clergy bergoglio go man  archbishop vigano  exposed homosexual rot clergy satan must really good laugh one 
159,@user @user Why don't liberals understand that an allegation of drunk teenagers who don't have sex is not a federal crime? Golly Moses- What is wrong with those people? ,0, user user dont liberal understand allegation drunk teenager dont sex federal crime golly moses wrong people 
160,@user Doubt he is requesting any player to be moved. IMO It's likely if he feels the team is close to be a contender or if he is satisfied to being a mentor to a borderline team ,0, user doubt requesting player moved imo likely feel team close contender satisfied mentor borderline team 
161,@user @user Can't stand to listen to that puke. I change the channel when he speaks. He believes his own LIES!!....They're all NUTS!! #LeftWingLiberalDisease #WalkAway #VoteRedToSaveAmerica  🇺🇸🇺🇸#MAGA 🇺🇸🇺🇸 ,1, user user cant stand listen puke change channel speaks belief liestheyre nut leftwingliberaldisease walkaway voteredtosaveamerica  maga  
162,@user 1. Six year-old tweet from an account I don't control referencing my previous time slot 2. Refers to Bloomberg's call for gun control. Not mine. Michael Bloomberg. ,0, user  six yearold tweet account dont control referencing previous time slot  refers bloombergs call gun control mine michael bloomberg 
163,. This little one is my why. She is the reason I strive each day to become a better version of who I already am. . Before babies I used to fear I’d never have enough time for a family.… ,0,  little one reason strive day become better version already  baby used fear id never enough time family 
164,@user I love your momma. She is me ,0, user love momma 
165,@user Sad day for all liberals 💃💃💃💃💃💃💃💃💃💃😂😂😂😂😂 ,0, user sad day liberal  
166,3. @user You’re my lil baby and I’m so proud of you for working as hard as you do. Thank you for still being there for me like you are. You’re the sweetest 💕💕 don’t ever change ,0,  user youre lil baby im proud working hard thank still like youre sweetest  dont ever change 
167,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user I’m an Antifa Angel who has come to set the Dregs and Deplorables Free. Free from caring what losers think about you. ,0, user user user user user user user user user user user user user user user user im antifa angel come set dreg deplorables free free caring loser think 
168,@user And god forbid you are already talking to someone or dating they get real mad 😂🤷🏼‍♀️ we like those people over you for a reason sorry bout it 😂 ,0, user god forbid already talking someone dating get real mad  like people reason sorry bout  
169,@user @user Keep up the great work Cory! You are today’s hero. Not the Op-Ed author who should have invoked the 25th. ,0, user user keep great work cory today hero oped author invoked th 
170,@user @user Ha ha ha sneaky buggers. I have put out a warning to have sound off. That will show them. ,1, user user ha ha ha sneaky bugger put warning sound show 
171,@user @user @user Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government gun control and free colleges. I am American I'm for capitalism ,1, user user user look ellen socialist commie one government universal health care bigger government gun control free college american im capitalism 
172,@user @user @user No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention ,1, user user user wouldnt si know damn well would probably call cute people propose concert time yet gay couple wrong youre fucking concert dont pay attention 
173,@user She is a fake a fraud and a democrat activist plant. She is a tool to try to derail the process and then to later drum up votes for democrats claiming conservatives don't care about victims. If Democrats cared if they wouldn't cheapen real victims with fakes. ,1, user fake fraud democrat activist plant tool try derail process later drum vote democrat claiming conservative dont care victim democrat cared wouldnt cheapen real victim fake 
174,@user @user She is dickmatized ,1, user user dickmatized 
175,@user Fat ass.... heart attack city..... keep eating fat ass.... ,1, user fat as heart attack city keep eating fat as 
176,"@user @user Much of your promise of money is not extra/new as govt took back £817 MILLION promised for new affordable"""" homes! Stop Right to Buy - we have a @user created #HousingCrisis now, too little, too late!  ",0, user user much promise money extranew govt took back  million promised new affordable home stop right buy  user created housingcrisis little late  
177,@user As it gets closer to November the left is in full on panic mode their talking points will forever be 25th Amendment. Ok idiots let’s see you try it. ,1, user get closer november left full panic mode talking point forever th amendment ok idiot let see try 
178,@user Nigga then how can you say bo2 is the best Cod 🤨 ,1, user nigga say bo best cod  
179,@user @user You are right I'm black so thanks ,0, user user right im black thanks 
180,#NAME?,0, name
181,@user @user @user @user @user She can do a Google search of protests by antifa but she already knows that. It's called being blind. I would never support a conservative protest where they beat people up and destroyed property ,0, user user user user user google search protest antifa already know called blind would never support conservative protest beat people destroyed property 
182,@user @user @user @user @user @user @user @user @user @user Pretty much. As I’ve stated I believe is gun control just not this aspect of it. The guns aren’t the problem the people who shouldn’t have guns are. Where do we draw the line. How do we prevent “bad or crazy” people from shooting up a crowd. Surely we don’t have the answer ,0, user user user user user user user user user user pretty much ive stated believe gun control aspect gun arent problem people shouldnt gun draw line prevent bad crazy people shooting crowd surely dont answer 
183,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user And yet antifa dresses like isis.... ,0, user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user yet antifa dress like isi 
