Text,Label,Clean Text
"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer ",0, user actually benefit would make immigrant public charge law book  year entitled hold green card become citizen dems wont enforce     mexican central amer 
How much is John McCains funeral costing tax payers? Not including his no vote to scrap Obamacare. Next time use our hard earned money for something useful like building the wall!!#BuildThatWall#McCainFuneral #Baloney ,1, much john mccains funeral costing tax payer including vote scrap obamacare next time use hard earned money something useful like building wallbuildthatwallmccainfuneral baloney 
I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb.. ,1, ive never life met woman smarter maybe small retard brain womenaredumb 
Syrian activist alleges UN gave Rakban camp refugee children expired sweets ,0, syrian activist alleges un gave rakban camp refugee child expired sweet 
"@user I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise ",1, user bit toungue l heard syrian refugee complain rothsey  maybe someone swop high rise 
@user List fails without '50 Things To Think About To Stop You Doing Your Beans' by Kunt and the Gang ,0, user list fails without  thing think stop bean kunt gang 
"SWEDEN Dentist fined nearly $50,000 for revealing that many adult Muslim migrants are posing as 'unaccompanied refugee children' via @user Swedenstan update... ",0, sweden dentist fined nearly  revealing many adult muslim migrant posing unaccompanied refugee child via user swedenstan update 
"The US bill is an illegal endeavour and cannot impact the current situation. It is a part of the “deal of the century” which aims to revoke the Palestinian refugees’ right of return and works hand in hand with the Israeli racist Nation State Law,  ",0, u bill illegal endeavour cannot impact current situation part deal century aim revoke palestinian refugee right return work hand hand israeli racist nation state law  
UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARE SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILE NOT LOVING YOUR NEIGHBORS? YIKES. ,0, ugh fake christian really trying take away right care much life fix already broken foster care system welcome refugee open arm follower christ loving neighbor yikes 
"@user Lmao on my grandmother , you never knew me in 2012 so stop while you really ahead hoe ",0, user lmao grandmother  never knew  stop really ahead hoe 
Could you please explain why you praised the research of an anti-Muslim and anti-immigrant foundation linked to Orban's far-right government?  Or why you are hosting events at the Hungarian Embassy for this foundation? ,0, could please explain praised research antimuslim antiimmigrant foundation linked orbans farright government  hosting event hungarian embassy foundation 
"Was a legal Resident until she was Convicted of Shoplifting Deported then Came Back Illegally  Now She wants U,S Taxpayers to pay her Medical Bills  #SendHerBack let her family go with her !  #Immigration ",1, legal resident convicted shoplifting deported came back illegally  want u taxpayer pay medical bill  sendherback let family go   immigration 
"Italy and France try to patch up migrant row, draw papal rebuke    Send them to the Vatican... ",1, italy france try patch migrant row draw papal rebuke    send vatican 
"@user @user in an interview with @user Trump doesn't need Congress to Build The Wall.We are being invaded by a foreign country; defending our Borders is the # 1 job of the Commander-In-Chief, use DOD funds.""PLEASE @user ",1, user user interview user trump doesnt need congress build wallwe invaded foreign country defending border   job commanderinchief use dod fundsplease user 
If you hate fuckboys it's only cause you let one break your stupid little heart... Dumb dumb ,0, hate fuckboys cause let one break stupid little heart dumb dumb 
"@user Then don't be a whore and open your legs for everyone, and not fuck everyone you want, and magically, you'll prevent getting an STD. ",1, user dont whore open leg everyone fuck everyone want magically youll prevent getting std 
@ THE BROKE BITCHES WHO ARE PARTYING IN MY OVARIES. I HOPE YOU FUCKING DIE AND ROT IN HELL YOU STUPID UGLY ASS BITCH ,1,  broke bitch partying ovary hope fucking die rot hell stupid ugly as bitch 
@user @user We need to keep saying it until its built! #BuildThatWall ,1, user user need keep saying built buildthatwall 
ICE: 124 illegal immigrants released from jail later charged in 138 murder cases #BuildTheWall #EnforceUSLaws#KeepAmericansSafeThis is all the Congress should be comtemplating!#BanSanctuaryCities #NoAmnesty #NoDACADeal #EndChainMigration #Deport ,1, ice  illegal immigrant released jail later charged  murder case buildthewall enforceuslawskeepamericanssafethis congress comtemplatingbansanctuarycities noamnesty nodacadeal endchainmigration deport 
"@user Facts! like bitch stfu & sit in the corner hoe. Catch a fit in the corner, facing the wall ",1, user fact like bitch stfu  sit corner hoe catch fit corner facing wall 
#information_warfare ,0, informationwarfare 
Here comes the results of socialism. To all Liberals who want communism; here comes your new roomies. #BuildThatWall ,1, come result socialism liberal want communism come new roomy buildthatwall 
Iraqi Immigrant Accused Of Critically Wounding Colorado Cop Evaded Deportation Despite Criminal Record ,0, iraqi immigrant accused critically wounding colorado cop evaded deportation despite criminal record 
And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason ,0, buckle demand swear undying trust   enemy nation treason 
"Trump Administration May Be Creating 'Permanently Orphaned' Immigrant Kids, Judge Says – Texas Monthly ",0, trump administration may creating permanently orphaned immigrant kid judge say  texas monthly 
"@user Families should not bring their kids into a country illegally, would you?  We can’t afford them #sendthemhome ",1, user family bring kid country illegally would  cant afford sendthemhome 
Effects of Third World Immigration into Canada via @user ,0, effect third world immigration canada via user 
THINGS GOT HEATED: BREAKING: Woman Sets Pedophile Muslim Man on Fire After Catching Him Rape 7 -Yr -Old Daughter ,0, thing got heated breaking woman set pedophile muslim man fire catching rape  yr old daughter 
#FactCheck true #WakeUpAmerica #LeftistSedition #DemocratsHateAmerica #OpenYourEyes #FreeYourMind #BuildTheWall #StopTheInvasion ,0, factcheck true wakeupamerica leftistsedition democratshateamerica openyoureyes freeyourmind buildthewall stoptheinvasion 
Youth #Care Worker Accused of Sexually Abusing #Immigrant Boys - #PrescientInfo ,0, youth care worker accused sexually abusing immigrant boy  prescientinfo 
"This year a young immigrant from Mali saved the life of a child in France. The President of France personally awarded him a National hero medal for bravery after inviting him to the Elysée Palace, offered him French citizenship and a job.  This year, the…https://t.co/hKdEgTi5ya ",0, year young immigrant mali saved life child france president france personally awarded national hero medal bravery inviting elyse palace offered french citizenship job  year thehttpstcohkdegtiya 
"'Come up here and say somethin now you broke, beggin, fingers in the booty ass bitch' ",1, come say somethin broke beggin finger booty as bitch 
Goals AF ,0, goal af 
"Hmm... Someone named ""Garcia"" wants to eliminate the US/Mexico border. Imagine my surprise.What's it called when a foreign agent enters your country &amp; sabotages your #BorderSecurity for the benefit of their own country?#StopTheInvasion #SecureTheBorder #BuildTheWall #NoIllegals ",1, hmm someone named garcia want eliminate usmexico border imagine surprisewhats called foreign agent enters country amp sabotage bordersecurity benefit countrystoptheinvasion securetheborder buildthewall noillegals 
@user Coming from a hysterical woman. ,0, user coming hysterical woman 
@user Hahahahahahahaha no wonder you work for the sun you thick kunt. ,0, user hahahahahahahaha wonder work sun thick kunt 
@user you guys nailed it. I've had 3 seperate fits of hysterical laughter and I didn't even make it to the school yet. ,0, user guy nailed ive  seperate fit hysterical laughter didnt even make school yet 
American #FamiliesBelongTogether but the #Democrat Socialist Party Keeps allowing Illegals to Kill them  #FamiliesBelongTogetherMarch  #AmericansFirst Not Illegals Breaking #Inmigration laws ,1, american familiesbelongtogether democrat socialist party keep allowing illegals kill  familiesbelongtogethermarch  americansfirst illegals breaking inmigration law 
@user this your whore you going to marry and lie to me about will never marry women who show body to public ,1, user whore going marry lie never marry woman show body public 
Russian immigrant seeks Democratic nomination for Alaska’s U.S. House seat ,0, russian immigrant seek democratic nomination alaska u house seat 
dawgg im fr boutta roast this bitch LMFOAOO DONT EVER POST IAN AGAIN U STUPID ASS SLUT ,1, dawgg im fr boutta roast bitch lmfoaoo dont ever post ian u stupid as slut 
Fox News host: Lock Clinton up Get this CUNT Pirro off the air. She is a woman hating woman. ,1, fox news host lock clinton get cunt pirro air woman hating woman 
"@user sorry sweetie, but women are the causes of all problems ",1, user sorry sweetie woman cause problem 
Thousands march in #Munich to show support for migrants ,0, thousand march munich show support migrant 
How to Pronounce Whore Eyed Cunt ↺RT❤ # ,0, pronounce whore eyed cunt rt  
@user bitches love electric toothbrushes in their twats... ,1, user bitch love electric toothbrush twat 
"Can you bitches stop pulling ya pants up above your belly button, you look like my fuckin grandfather ",1, bitch stop pulling ya pant belly button look like fuckin grandfather 
"Last week, Her Justice staff members spoke about immigrant detention, focusing on the inhumane treatment and poor conditions they observed volunteering at South Texas Family Residential Center in Dilley, TX and how chaotic policy changes continue to adversely affect detainees. ",0, last week justice staff member spoke immigrant detention focusing inhumane treatment poor condition observed volunteering south texas family residential center dilley tx chaotic policy change continue adversely affect detainee 
@user : Vogue hijabi cover star on growing up in a #refugee camp via @user #WithRefugees #WorldRefugeeDay @user @user @user @user ,0, user  vogue hijabi cover star growing refugee camp via user withrefugees worldrefugeeday user user user user 
"* Croatia ðŸ‡­ðŸ‡·:  Last Wednesday, illegal migrants from Iran were detained in a neighborhood near ZapreÅ¡iÄ‡.  #v4 #visegrad ",1,  croatia   last wednesday illegal migrant iran detained neighborhood near zaprei  v visegrad 
"Paris dont like tentrefugees. Now they bring them to the parque ""Bois de Bologne"". Close of this place life the most rich people of France in the Avenue Foch. The rich have made big walls around their property. ",1, paris dont like tentrefugees bring parque bois de bologne close place life rich people france avenue foch rich made big wall around property 
"Alabama: Illegals Force 13-Year-Old Girl to Watch Murder of her Grandmother, Then Behead Girl#IllegalAliens #Alabama #Animals #KAG#RollTide #WalkAway #LockThemAllUp #SendThemBack #BuildTheWall #MAGA #Trump #Trump2020 #QResearch #PatriotsFight #RedPill ",1, alabama illegals force yearold girl watch murder grandmother behead girlillegalaliens alabama animal kagrolltide walkaway lockthemallup sendthemback buildthewall maga trump trump qresearch patriotsfight redpill 
"Like if you didnt want to have a party, don't fucking broadcast it #ThatsTheShitIDontLike #WomenSuck ",1, like didnt want party dont fucking broadcast thatstheshitidontlike womensuck 
@user Cameron you could not stop migration in ur one of many broken promises y do we need to stay in Europe to rub it in ,0, user cameron could stop migration ur one many broken promise need stay europe rub 
"@user I know you do, slut ",1, user know slut 
When you thought you'd try a little s &; m and now your ass hurts so bad you can hardly sit ,0, thought youd try little  as hurt bad hardly sit 
"⁦@RepMcClintock⁩ has voted to destroy the #ACA more times than I can count. Don’t give him another opportunity. Choose to support healthcare, science, immigrant rights, civil rights &amp; social justice. Choose ⁦@Morse4America⁩ #TeamMorse  ",0, repmcclintock voted destroy aca time count dont give another opportunity choose support healthcare science immigrant right civil right amp social justice choose morseamerica teammorse  
cocks of the beasts we keep. The life of a slut or breeding whore is quite exciting.” ,0, cock beast keep life slut breeding whore quite exciting 
Immigrant Health Workers in the UK ,0, immigrant health worker uk 
That's the original it came from. But I appreciate the fact that you think I would follow or steal from u. Sit down ,0, thats original came appreciate fact think would follow steal u sit 
"Illegal immigration drives up real estate prices, widens wealth-gaps, reduces high-tech investment, increases state and local tax burdens, hurts kids’ schools and college education, pushes Americans away from high-tech jobs ",1, illegal immigration drive real estate price widens wealthgaps reduces hightech investment increase state local tax burden hurt kid school college education push american away hightech job 
"@user Some women are aggressive, promiscuous whores, but all women must try harder not to make men feel uncomf… ",1, user woman aggressive promiscuous whore woman must try harder make men feel uncomf 
"Totally out of control. These people @user @user @user @user need to be reigned in. Hotel rooms for opportunist migrants, millions being spent trying to stuff the genie back in the bottle, no end or strategy in sight.  ",1, totally control people user user user user need reigned hotel room opportunist migrant million spent trying stuff genie back bottle end strategy sight  
@user Wake Up & Prepare to Stop the Evil Dead in it's Tracks! #SendThemBack #DeportTheUndesirables #KickOutTheLyers #SaveTheWorldUnderTheOneTrueGod ,1, user wake  prepare stop evil dead track sendthemback deporttheundesirables kickoutthelyers savetheworldundertheonetruegod 
"Please rape my slut cunt and fill it up to the brim with thick, hot cum ",0, please rape slut cunt fill brim thick hot cum 
As long as the position is on all fours who cares ,0, long position four care 
@user well stfu then BITCH you coming to some yeen got NO BUSINESS being in. You need to mind the business that pays you hoe ,1, user well stfu bitch coming yeen got business need mind business pay hoe 
When the pizza man is more than a minute late ,0, pizza man minute late 
